price,mantage,metrage,sal,otag,tabage,vshed_status,lat,long,tehdad_vahed,asansor,parking,anbari
25500000256,gisha,86,1400.0,2.0,۴,بازسازی نشده,35.738574981689,51.377414703369,,آسانسور دارد,پارگینگ دارد,انباری دارد
13699999744,masoudieh,140,1404.0,2.0,۴ از ۵,بازسازی نشده,35.62888717651367,51.49897766113281,1.0,آسانسور دارد,پارگینگ دارد,انباری ندارد
3849999872,yakhchi-abad,35,1398.0,1.0,۴ از ۴,بازسازی نشده,35.633802674097,51.405142589945,1.0,آسانسور ندارد,پارگینگ ندارد,انباری دارد
109999996928,zafaraniyeh,230,1395.0,3.0,بالاتر از ۳۰,بازسازی نشده,35.814234634519,51.413207118948,,آسانسور دارد,پارگینگ دارد,انباری دارد
6449999872,masoudieh,64,1397.0,2.0,۴ از ۴,بازسازی نشده,35.630738230123,51.498261018143,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
3100000000,west-shahrak-e-golestan,90,1404.0,2.0,۹,بازسازی نشده,35.75207671866,51.219468256582,,آسانسور دارد,پارگینگ دارد,انباری دارد
16300000256,sazman-barname-jonubi,73,1391.0,2.0,۴,بازسازی نشده,35.725283129443,51.301819431218,,آسانسور دارد,پارگینگ دارد,انباری دارد
32999999488,sazman-barname-jonubi,140,1398.0,3.0,۲ از ۵,بازسازی شده,35.730115535624,51.302430016131,3.0,آسانسور دارد,پارگینگ دارد,انباری دارد
11500000256,aramaneh,77,1390.0,2.0,۲,بازسازی نشده,35.723599291433,51.456129461663,,آسانسور دارد,پارگینگ دارد,انباری دارد
16000000000,west-tehranpars,102,1394.0,2.0,۲,بازسازی نشده,35.747393131473,51.524855369889,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
4000000000,shahrak-e-kianshahr,64,,2.0,همکف,بازسازی نشده,35.635762999951,51.454690748859,,آسانسور ندارد,پارگینگ ندارد,انباری ندارد
600000000,parastar,105,1404.0,2.0,۴,بازسازی نشده,35.685421077307,51.48090513489,,آسانسور دارد,پارگینگ دارد,انباری دارد
2449999872,shahr-e-ziba,65,1399.0,2.0,۱,بازسازی نشده,35.748456830473,51.291114584296,,آسانسور دارد,پارگینگ دارد,انباری دارد
3500000000,shahr-e-ziba,65,1403.0,1.0,۳,بازسازی نشده,35.746263341117,51.293186970309,,آسانسور دارد,پارگینگ دارد,انباری دارد
2150000128,shahr-e-ziba,50,1398.0,1.0,۲,بازسازی نشده,35.748731305417,51.291260346323,,آسانسور دارد,پارگینگ دارد,انباری دارد
7800000000,shahr-e-ziba,100,1404.0,2.0,۳ از ۴,بازسازی نشده,35.748378102231,51.292205352314,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
1935000064,chitgar-lake,90,1404.0,2.0,۷ از +۳۰,بازسازی نشده,35.739871696615,51.214053547707,,آسانسور دارد,پارگینگ دارد,انباری دارد
20000000000,west-tehranpars,93,1403.0,2.0,۱,بازسازی شده,35.738993022177,51.536868241438,,آسانسور ندارد,پارگینگ دارد,انباری دارد
11600000000,narmak,65,1394.0,1.0,۳,بازسازی نشده,35.735804462348,51.507890159163,,آسانسور دارد,پارگینگ دارد,انباری دارد
4300000256,azad-shahr,40,1404.0,1.0,۱,بازسازی نشده,35.755334014075,51.176449439752,,آسانسور دارد,پارگینگ دارد,انباری دارد
4499999744,west-shahrak-e-golestan,155,1404.0,3.0,۱۳,بازسازی نشده,35.748007703405,51.250067931903,,آسانسور دارد,پارگینگ دارد,انباری دارد
7299999744,ostad-moein,74,1399.0,2.0,۳,بازسازی نشده,35.698499853293,51.346819622392,,آسانسور دارد,پارگینگ دارد,انباری دارد
13200000000,selsebil-shomali,78,1404.0,2.0,۲ از ۴,بازسازی نشده,35.700161935437,51.366464516767,1.0,آسانسور دارد,پارگینگ ندارد,انباری دارد
7400000000,east-shareq,54,1390.0,1.0,۲,بازسازی نشده,35.709151802339,51.459974561383,,آسانسور دارد,پارگینگ دارد,انباری دارد
6750000128,jeyhoun,50,1404.0,1.0,۲ از ۴,بازسازی نشده,35.685580134363,51.370665175709,1.0,آسانسور دارد,پارگینگ ندارد,انباری دارد
7769999872,tehran-iran,74,1384.0,2.0,۲ از ۴,بازسازی نشده,35.684992894721,51.440399933634,,آسانسور ندارد,پارگینگ ندارد,انباری دارد
